lon,lat,yld_vol_dr,elevation_
-97.111364,41.250009,159.0767,1633.5302
-97.111402,41.250033,174.0429,1633.5302
-97.11144,41.250056,207.2043,1633.5302
-97.111479,41.250081,198.5576,1633.2021
-97.111516,41.250106,181.4567,1632.874
-97.111553,41.250131,182.8068,1632.5459
-97.111594,41.250153,174.9415,1632.2178
-97.111633,41.250176,175.2181,1631.8898
-97.111672,41.250199,182.3947,1631.8898
-97.111711,41.250222,202.2528,1631.5617
-97.111751,41.250246,199.6021,1631.5617
-97.111791,41.250269,172.265,1631.2336
-97.111831,41.250288,141.2934,1631.2336
-97.111873,41.250304,142.0626,1631.8898
-97.111916,41.250321,132.6485,1632.2178
-97.111959,41.250336,145.5759,1632.874
-97.112004,41.250353,144.1382,1632.874
-97.112047,41.250371,144.3041,1632.5459
-97.112092,41.25039,139.7096,1632.2178
-97.112137,41.250406,153.843,1631.8898
-97.112184,41.250421,135.3437,1631.5617
-97.112228,41.250436,140.7324,1631.5617
-97.112272,41.250452,144.0655,1631.8898
-97.112316,41.250469,142.1611,1631.8898
-97.112359,41.250489,109.5944,1631.2336
-97.112401,41.250508,101.4894,1631.5617
-97.112442,41.250526,111.5596,1631.5617
-97.112486,41.250541,101.4828,1631.8898
-97.112528,41.250559,87.3922,1632.5459
-97.112568,41.250578,103.1058,1633.2021
-97.112608,41.250598,128.0393,1634.1864
-97.112646,41.25062,137.2974,1632.874
-97.112686,41.250642,151.679,1633.8583
-97.11272,41.250669,173.5443,1634.1864
-97.112754,41.250696,180.3881,1633.8583
-97.112791,41.250723,169.399,1632.874
-97.112825,41.25075,172.0359,1632.5459
-97.112858,41.250777,190.0751,1632.5459
-97.112892,41.250805,183.2758,1632.5459
-97.112924,41.250832,204.8296,1632.874
-97.112956,41.250861,195.6338,1632.874
-97.112989,41.25089,165.4768,1632.5459
-97.113022,41.250918,169.321,1632.5459
-97.113054,41.250946,144.6843,1632.5459
-97.113086,41.250975,144.6353,1632.2178
-97.113117,41.251004,128.1952,1632.2178
-97.113149,41.251031,141.6113,1632.2178
-97.113182,41.251059,150.4652,1632.874
-97.113214,41.251086,147.8471,1632.874
-97.113246,41.251115,139.0892,1632.874
-97.113276,41.251144,145.2971,1632.874
-97.113308,41.251173,132.2624,1632.874
-97.113341,41.251201,77.0806,1632.5459
-97.113374,41.251229,58.8176,1632.874
-97.113408,41.251255,66.1133,1633.2021
-97.113439,41.251284,76.8761,1633.8583
-97.113472,41.251314,78.6939,1633.8583
-97.113502,41.251344,58.3767,1634.1864
-97.113533,41.251374,45.3109,1632.874
-97.113565,41.251402,41.9307,1632.5459
-97.113598,41.251429,54.8152,1633.5302
-97.113634,41.251453,65.1535,1633.2021
-97.113676,41.251473,81.5994,1631.8898
-97.113722,41.251484,93.464,1630.5774
-97.113772,41.251487,75.7435,1629.9213
-97.113823,41.25148,47.585,1631.5617
-97.113871,41.251475,63.6138,1630.5774
-97.113919,41.251468,67.7988,1629.9213
-97.113967,41.25146,60.8865,1629.2651
-97.114015,41.251453,50.0578,1628.2808
-97.114064,41.251445,33.6713,1627.2966
-97.114114,41.251436,33.9888,1626.6404
-97.114164,41.251426,50.3347,1625.3281
-97.114205,41.251412,82.1507,1624.6719
-97.114244,41.251399,119.748,1623.6877
-97.114285,41.25139,102.9253,1622.7034
-97.114325,41.251384,121.5633,1622.3753
-97.11436,41.25138,94.6772,1622.0472
-97.114461,41.251218,89.7919,1623.6877
-97.114478,41.251186,88.7275,1624.3438
-97.114498,41.251155,60.8142,1624.6719
-97.114511,41.251121,55.4269,1625.6562
-97.114514,41.251081,66.7141,1626.6404
-97.114504,41.251045,95.09,1627.9528
-97.114496,41.251012,153.1581,1628.6089
-97.114492,41.250977,133.8931,1629.2651
