elevation,lat,lon,yield,yield_binned,color,ndx,soil,links,slopes
1621.0629999999999,41.250099,-97.14198,18,0,#67000D,166,Hastings silty clay loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691287&ogc_fid=3816714,7 to 11 percent slopes
1624.6719,41.253377,-97.145627,29,0,#67000D,786,Olbut-Butler silt loams,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691306&ogc_fid=3816648,0 to 1 percent slopes
1628.2808,41.254318,-97.146751,27,0,#67000D,2632,Olbut-Butler silt loams,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691306&ogc_fid=3816648,0 to 1 percent slopes
1626.6404,41.254263,-97.146967,27,0,#67000D,3904,Olbut-Butler silt loams,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691306&ogc_fid=3816648,0 to 1 percent slopes
1626.3123,41.254269,-97.146966,29,0,#67000D,3905,Olbut-Butler silt loams,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691306&ogc_fid=3816648,0 to 1 percent slopes
1629.2651,41.254839000000004,-97.144816,28,0,#67000D,8798,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1628.9370000000001,41.254865,-97.144813,17,0,#67000D,8799,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1628.6089,41.254898,-97.14480999999999,11,0,#67000D,8800,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1628.6089,41.254929,-97.14479200000001,11,0,#67000D,8801,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1629.2651,41.254909000000005,-97.144697,15,0,#67000D,8802,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
