lon,lat,yld_vol_dr,elevation_
-97.223335,41.2066,48.3328,1608.5958
-97.223373,41.206598,54.4792,1608.5958
-97.223411,41.206598,54.2165,1608.5958
-97.223449,41.206598,49.5314,1608.5958
-97.223486,41.206596,49.4396,1608.5958
-97.223524,41.206595,60.0667,1608.5958
-97.223562,41.206595,58.7323,1608.9239
-97.223605,41.206597,59.667,1608.9239
-97.223648,41.206598,58.2016,1608.9239
-97.223692,41.206599,46.848,1608.5958
-97.223735,41.206597,51.1784,1608.5958
-97.223775,41.206593,46.0714,1608.5958
-97.223811,41.206586,36.037,1608.5958
-97.223843,41.206572,35.1709,1608.5958
-97.22387,41.206547,33.0749,1608.2677
-97.223881,41.206507,28.9117,1608.2677
-97.223889,41.206465,32.9379,1607.9396
-97.223897,41.206425,32.5854,1606.2992
-97.223901,41.206383,35.7558,1606.6273
-97.223907,41.206347,48.5173,1606.6273
-97.223911,41.20631,49.013,1606.9554
-97.223919,41.206274,45.4388,1607.6115
-97.22393,41.206243,44.178,1607.6115
-97.223945,41.206211,27.2777,1607.6115
-97.22396,41.206178,23.6311,1607.6115
-97.223975,41.206143,26.7276,1607.6115
-97.223989,41.206108,26.8754,1607.2835
-97.223999,41.206075,34.1168,1607.2835
-97.224001,41.20605,69.1274,1607.2835
-97.224005,41.206025,52.7819,1606.9554
-97.224012,41.205994,48.3242,1606.9554
-97.224019,41.20596,43.1443,1606.6273
-97.224022,41.205926,37.4432,1606.6273
-97.224029,41.205896,43.2873,1606.6273
-97.224034,41.205867,46.5899,1606.6273
-97.224043,41.205839,38.6641,1606.6273
-97.224049,41.20581,37.688,1606.6273
-97.224052,41.205781,42.9235,1606.2992
-97.224056,41.20575,43.7606,1606.6273
-97.22406,41.205717,46.299,1606.6273
-97.224068,41.205684,38.704,1606.6273
-97.22407,41.205652,34.8624,1606.6273
-97.22407,41.20562,29.8393,1606.6273
-97.224071,41.205586,39.8264,1606.2992
-97.224072,41.205552,38.5799,1606.2992
-97.224073,41.205518,37.6868,1606.2992
-97.224076,41.205485,47.2334,1605.9711
-97.224076,41.205452,42.9657,1606.2992
-97.224075,41.205419,43.0133,1605.9711
-97.224074,41.205386,46.3399,1606.2992
-97.224073,41.205353,44.4747,1606.2992
-97.224073,41.20532,39.4566,1606.2992
-97.224076,41.205286,34.236,1606.2992
-97.224076,41.205253,44.1697,1606.2992
-97.224076,41.20522,45.2366,1606.2992
-97.224078,41.205186,47.1981,1606.2992
-97.224078,41.205153,45.0969,1606.2992
-97.224076,41.205121,48.0298,1606.2992
-97.224077,41.205087,41.5443,1606.2992
-97.224078,41.205054,36.5343,1606.2992
-97.22408,41.205022,45.829,1606.2992
-97.224081,41.204989,47.6289,1606.2992
-97.224082,41.204956,48.5432,1606.6273
-97.22408,41.204922,48.0022,1606.6273
-97.22408,41.204889,46.8158,1606.9554
-97.22408,41.204855,43.5307,1606.9554
-97.224081,41.204822,47.0092,1606.9554
-97.224081,41.204789,44.2613,1606.9554
-97.224079,41.204758,45.1109,1606.9554
-97.22408,41.204727,47.6375,1606.9554
-97.224077,41.204696,44.8447,1606.9554
-97.224076,41.204663,47.0371,1606.9554
-97.224078,41.20463,50.3042,1606.9554
-97.224078,41.204596,48.7017,1606.9554
-97.22408,41.204563,49.9104,1606.6273
-97.224079,41.204531,47.7044,1606.9554
-97.22408,41.204497,44.6947,1606.9554
-97.224084,41.204464,51.0486,1606.9554
-97.224085,41.204431,45.907,1606.9554
-97.224085,41.204398,48.9315,1606.9554
-97.224085,41.204365,50.8438,1606.6273
-97.224084,41.204332,51.9182,1606.6273
-97.224084,41.204299,44.2338,1606.6273
-97.224084,41.204265,40.9461,1606.6273
-97.224085,41.204231,43.4472,1606.6273
-97.224085,41.204198,46.2063,1606.6273
-97.224087,41.204165,48.1933,1606.6273
-97.224087,41.204131,51.277,1606.6273
-97.224086,41.204097,46.3025,1606.6273
-97.224087,41.204064,49.6722,1606.6273
-97.224089,41.20403,49.4851,1606.2992
-97.22409,41.203997,51.386,1606.2992
-97.224089,41.203964,48.5484,1606.2992
-97.224089,41.203931,51.0501,1606.2992
-97.22409,41.203897,47.3151,1606.2992
-97.224091,41.203863,48.2758,1605.9711
-97.224092,41.20383,49.1664,1605.9711
-97.224092,41.203797,44.783,1605.643
-97.224091,41.203763,50.6794,1605.643
-97.224093,41.20373,41.572,1605.315
-97.224092,41.203697,47.7155,1605.315
-97.224091,41.203664,42.0589,1605.643
-97.224091,41.203631,44.602,1605.643
-97.224091,41.203597,37.8587,1605.315
-97.224094,41.203564,36.807,1605.315
-97.224097,41.203531,41.1584,1605.315
-97.224098,41.203496,42.1102,1604.9869
-97.224098,41.203462,43.646,1604.9869
-97.224098,41.20343,50.1523,1604.9869
-97.224098,41.203396,51.7825,1604.6588
-97.224099,41.203362,47.1642,1604.6588
-97.224099,41.203329,46.9915,1604.3307
-97.224101,41.203295,45.6227,1604.3307
-97.224101,41.203262,40.7828,1604.0026
-97.224103,41.203229,41.8269,1604.0026
-97.224102,41.203195,32.2888,1603.6745
-97.224101,41.203161,25.3456,1603.0184
-97.223966,41.203139,44.0074,1600.0656
-97.223922,41.203139,39.9068,1599.7375
-97.223879,41.203137,41.8631,1598.7533
-97.223836,41.203136,39.1996,1597.769
-97.223792,41.203136,33.3115,1596.7848
-97.223748,41.203136,29.5223,1595.8005
-97.223704,41.203136,36.5075,1594.8163
-97.22366,41.203135,34.447,1593.5039
-97.223617,41.203133,33.4589,1592.8478
-97.223575,41.203132,32.2268,1591.8635
-97.223532,41.203132,33.3433,1591.2073
-97.223488,41.203132,34.6612,1589.895
-97.223446,41.203132,47.7452,1589.5669
-97.223403,41.203133,43.3386,1588.9108
-97.22336,41.203135,39.6516,1588.2546
-97.223319,41.203135,47.1329,1587.9265
-97.223277,41.203134,52.159,1587.2703
-97.223233,41.203135,40.5382,1586.6142
-97.223191,41.203136,41.27,1585.6299
-97.223149,41.203138,43.5393,1585.6299
-97.223107,41.203137,38.597,1584.9738
-97.223066,41.203137,36.62,1584.6457
-97.223025,41.203137,34.6059,1583.9895
-97.222985,41.203136,38.9619,1583.6614
-97.222944,41.203136,37.9959,1583.6614
-97.222904,41.203136,45.629,1583.0052
-97.222866,41.203137,39.5446,1583.0052
-97.222827,41.203138,32.3192,1582.3491
-97.222789,41.203138,29.0845,1582.3491
-97.222526,41.203144,43.0133,1581.6929
-97.222498,41.203143,51.042,1582.021
-97.222469,41.203142,50.1162,1582.3491
-97.222435,41.203142,43.5488,1582.3491
-97.222397,41.203141,42.3247,1582.3491
-97.222357,41.203139,42.2026,1582.6772
-97.222314,41.203139,44.4972,1583.0052
-97.222272,41.203138,34.9682,1583.3333
-97.222229,41.203139,39.195,1583.6614
-97.222187,41.203139,40.9264,1583.6614
-97.222145,41.203138,33.9413,1583.9895
-97.222103,41.203137,35.0478,1583.9895
-97.222061,41.203137,40.5255,1584.3176
-97.222018,41.203137,41.6409,1584.6457
-97.221975,41.203135,46.2902,1584.6457
-97.221932,41.203135,50.6027,1584.6457
-97.22189,41.203135,43.7432,1584.6457
-97.221846,41.203135,40.4752,1584.6457
-97.221803,41.203135,44.0927,1584.6457
-97.221761,41.203134,48.6559,1584.6457
-97.221717,41.203135,52.4995,1584.6457
-97.221674,41.203136,46.4569,1584.3176
-97.221631,41.203137,38.369,1583.9895
-97.221587,41.203137,41.2573,1583.9895
-97.221543,41.203137,34.1642,1583.3333
-97.221208,41.203137,42.6434,1583.9895
-97.221183,41.203136,49.8554,1584.6457
-97.221157,41.203136,46.9305,1584.9738
-97.221131,41.203136,55.0807,1585.3018
-97.221104,41.203137,45.1726,1585.6299
-97.221073,41.203139,54.6584,1586.2861
-97.221037,41.203141,43.7262,1586.6142
-97.221001,41.203143,42.4255,1586.6142
-97.220964,41.20314,35.3696,1586.9423
-97.220934,41.20314,55.631,1587.2703
-97.220902,41.203139,46.6141,1587.9265
-97.220869,41.203138,39.2804,1588.2546
-97.220836,41.203138,43.1814,1588.5827
-97.220802,41.203138,39.9187,1588.9108
-97.220769,41.203137,39.7242,1589.2388
-97.220738,41.203137,45.1716,1589.5669
-97.220712,41.203137,53.4786,1589.895
-97.220684,41.203138,45.3845,1590.5512
-97.220652,41.203136,40.4169,1590.8793
-97.220617,41.203135,35.7255,1591.2073
-97.220578,41.203135,34.9879,1591.2073
-97.22054,41.203135,38.6039,1591.2073
-97.2205,41.203136,45.3461,1591.2073
-97.220459,41.203136,41.6788,1590.5512
-97.220422,41.203135,38.8535,1590.8793
-97.220383,41.203135,36.5683,1590.5512
-97.220344,41.203134,32.953,1590.2231
-97.220061,41.203132,40.6713,1589.5669
-97.220025,41.203132,43.526,1590.2231
-97.21999,41.203132,45.7564,1590.5512
-97.219954,41.203132,48.7693,1591.2073
-97.219916,41.203131,36.0352,1591.5354
-97.219873,41.20313,37.3658,1591.8635
-97.219831,41.20313,34.6784,1592.5197
-97.21979,41.203131,36.1794,1593.1759
-97.219748,41.203131,37.6277,1593.5039
-97.219705,41.20313,31.7985,1594.1601
-97.219662,41.203132,31.3961,1594.1601
-97.219618,41.203133,29.7554,1594.1601
-97.219579,41.203136,34.102,1593.5039
-97.219555,41.203139,31.1669,1593.1759
-97.219501,41.203252,52.8402,1594.8163
-97.219497,41.203283,58.8997,1595.4724
-97.219496,41.203313,50.574,1596.4567
-97.219499,41.203344,47.9347,1597.1129
-97.219499,41.203376,48.9461,1597.4409
-97.219496,41.203407,54.3755,1597.769
-97.219494,41.203438,47.9529,1598.0971
-97.219491,41.203468,52.7459,1598.7533
