lon,lat,yld_vol_dr,elevation_
-97.110164,41.250023,32.9442,1640.748
-97.110164,41.250053,29.7677,1641.0761
-97.110167,41.250082,33.4793,1641.0761
-97.110169,41.250112,32.4021,1641.0761
-97.110169,41.250141,30.0362,1641.0761
-97.110168,41.25017,26.8297,1641.4042
-97.110167,41.2502,28.9487,1641.0761
-97.110166,41.25023,28.2339,1641.0761
-97.110167,41.250262,26.1206,1641.0761
-97.110166,41.250293,25.4916,1641.4042
-97.110165,41.250324,24.4638,1641.4042
-97.110166,41.250356,24.9383,1641.4042
-97.110167,41.250389,24.445,1641.4042
-97.110169,41.250421,26.2083,1641.4042
-97.110169,41.250453,23.0892,1641.4042
-97.110168,41.250485,23.4811,1641.4042
-97.110164,41.250516,26.0983,1641.4042
-97.110161,41.250549,28.1942,1641.0761
-97.11016,41.250579,25.9717,1641.0761
-97.110159,41.250606,27.8899,1641.0761
-97.110159,41.250633,26.2639,1641.0761
-97.110162,41.25066,26.6971,1641.4042
-97.110162,41.250688,23.9227,1641.4042
-97.110162,41.250716,21.7871,1641.4042
-97.110162,41.250744,19.6309,1641.4042
-97.110164,41.250772,21.157,1641.7323
-97.110164,41.2508,24.0164,1641.7323
-97.110165,41.250829,26.6011,1641.7323
-97.110165,41.250857,28.316,1641.7323
-97.110165,41.250886,23.2495,1641.7323
-97.110164,41.250914,23.9389,1642.0604
-97.110164,41.250943,23.1833,1641.7323
-97.110164,41.250972,22.6428,1641.7323
-97.110166,41.251001,24.4271,1641.4042
-97.110167,41.251029,28.6884,1641.4042
-97.110168,41.251058,26.3752,1641.0761
-97.110168,41.251088,27.7187,1640.748
-97.110168,41.251118,30.0492,1640.4199
-97.110167,41.251147,30.6794,1640.0919
-97.110167,41.251175,29.4551,1639.7638
-97.110166,41.2512,26.9998,1639.1076
-97.110166,41.251211,100.7457,1638.4514
-97.110172,41.251287,36.3887,1638.7795
-97.110171,41.251305,45.8828,1638.7795
-97.110169,41.25132,58.3976,1638.7795
-97.110168,41.251336,58.8065,1639.4357
-97.110167,41.251354,54.7864,1639.7638
-97.110166,41.251377,46.1726,1640.0919
-97.110165,41.251401,42.6777,1640.4199
-97.110164,41.251427,39.9726,1640.748
-97.110163,41.251454,36.1551,1640.748
-97.110162,41.251481,34.5259,1641.0761
-97.110163,41.251508,31.7053,1641.0761
-97.110162,41.251535,32.7307,1641.4042
-97.110163,41.251562,29.0252,1641.4042
-97.110162,41.25159,31.87,1641.4042
-97.110162,41.251616,29.3505,1641.7323
-97.110163,41.251643,28.9453,1641.7323
-97.110163,41.25167,33.1733,1642.0604
-97.110164,41.251697,36.552,1642.0604
-97.110164,41.251725,33.9905,1642.0604
-97.110164,41.251751,35.3777,1642.0604
-97.110165,41.251778,38.238,1642.3885
-97.110163,41.251804,39.0825,1642.3885
-97.110163,41.251831,36.6159,1642.3885
-97.110163,41.251858,34.6114,1642.3885
-97.110164,41.251885,33.2208,1642.7165
-97.110167,41.251911,33.8822,1642.7165
-97.110166,41.251938,31.8717,1642.7165
-97.110164,41.251965,29.0805,1643.0446
-97.110166,41.251992,29.3137,1643.0446
-97.110166,41.252019,26.919,1643.0446
-97.110165,41.252046,25.6983,1643.3727
-97.110166,41.252073,26.2717,1643.3727
-97.110167,41.252101,25.6358,1643.3727
-97.110166,41.252128,27.2029,1643.7008
-97.110169,41.252155,25.5653,1644.0289
-97.11017,41.252182,26.8329,1644.0289
-97.110172,41.252208,30.0346,1644.0289
-97.110172,41.252236,31.3782,1643.7008
-97.11017,41.252263,24.6738,1643.7008
-97.110171,41.252289,26.7955,1644.0289
-97.110171,41.252316,25.4243,1643.7008
-97.110171,41.252343,27.1444,1643.7008
-97.110171,41.25237,30.5987,1643.7008
-97.110173,41.252399,31.9782,1643.3727
-97.110174,41.252429,27.6518,1643.3727
-97.110175,41.25246,26.5646,1643.3727
-97.110175,41.252492,27.2503,1643.3727
-97.110174,41.252526,25.4783,1642.7165
-97.110174,41.252558,25.5872,1642.3885
-97.110175,41.25259,28.8979,1642.0604
-97.110174,41.252623,29.0727,1641.7323
-97.110176,41.252656,24.4487,1641.4042
-97.110177,41.252689,23.5546,1640.748
-97.110177,41.252721,24.2025,1640.0919
-97.110176,41.252754,22.6168,1639.4357
-97.110175,41.252786,24.9374,1639.1076
-97.110177,41.252818,32.7852,1638.7795
-97.110177,41.252851,37.9255,1638.4514
-97.110178,41.252885,42.8225,1637.4672
-97.110179,41.252918,38.1015,1636.4829
-97.11018,41.252951,42.648,1635.8268
-97.110182,41.252985,51.4609,1634.5144
-97.110181,41.253018,61.6355,1633.5302
-97.110179,41.253051,48.2311,1632.5459
-97.11018,41.253085,45.3879,1631.5617
-97.110178,41.253117,48.4715,1630.9055
-97.110177,41.25315,45.7609,1630.5774
-97.110175,41.253182,41.9158,1630.2493
-97.110176,41.253213,46.0995,1629.9213
-97.110178,41.253246,39.3152,1629.5932
-97.110258,41.253234,48.6578,1630.2493
-97.110297,41.253239,54.1209,1629.9213
-97.110336,41.253241,56.8328,1629.9213
-97.110373,41.253243,51.9376,1629.5932
-97.11041,41.253245,48.1657,1629.5932
-97.110446,41.253248,46.9044,1629.5932
-97.110483,41.253251,46.2614,1629.5932
-97.110521,41.253252,45.2991,1629.5932
-97.110557,41.253254,51.2313,1629.9213
-97.110593,41.253258,50.8379,1629.9213
-97.11063,41.253261,47.1518,1629.9213
-97.110667,41.253265,38.543,1629.9213
-97.110703,41.253268,36.4898,1629.9213
-97.11074,41.253271,39.4131,1630.2493
-97.110776,41.253274,41.4007,1630.2493
-97.110814,41.253277,45.6065,1630.2493
-97.11085,41.25328,43.6288,1630.2493
-97.110888,41.253281,47.5313,1630.2493
-97.110924,41.253284,48.7877,1630.5774
-97.110961,41.253287,44.5556,1630.5774
-97.110997,41.253289,41.7509,1630.9055
-97.111034,41.253291,46.7454,1630.9055
-97.111073,41.253293,41.4621,1630.5774
-97.11111,41.253295,52.745,1630.5774
-97.111145,41.253296,51.4318,1630.5774
-97.111185,41.253297,51.0331,1630.5774
-97.111225,41.253298,47.8428,1630.5774
-97.111265,41.253299,41.0057,1630.2493
-97.111304,41.253299,40.8193,1630.2493
-97.111343,41.253297,41.2256,1629.9213
-97.111384,41.253294,41.3443,1629.9213
-97.111423,41.253291,51.8481,1629.5932
-97.111462,41.253286,52.5146,1629.2651
-97.111502,41.253281,47.9512,1629.2651
-97.111541,41.253277,42.1603,1628.937
-97.111581,41.253272,47.5841,1628.937
-97.111619,41.253267,47.2626,1629.2651
-97.111657,41.253262,44.1675,1629.2651
-97.111695,41.253257,52.0552,1629.5932
-97.111731,41.253254,54.1224,1630.2493
-97.111771,41.253249,50.3733,1629.9213
-97.111809,41.253244,50.6778,1630.2493
-97.111849,41.253238,52.6967,1630.2493
-97.111888,41.253234,49.8381,1630.2493
-97.111926,41.25323,48.824,1630.5774
-97.111963,41.253226,47.3965,1631.2336
-97.112003,41.253221,43.1628,1631.2336
-97.112041,41.253216,42.225,1631.5617
-97.11208,41.25321,36.1338,1631.8898
-97.112116,41.253204,35.2391,1632.874
-97.112156,41.253198,30.3296,1632.2178
-97.112196,41.253192,30.3644,1632.2178
-97.112235,41.253185,26.4467,1632.2178
-97.112275,41.253179,26.3283,1631.5617
-97.112314,41.253172,25.1761,1631.5617
-97.112351,41.253161,22.8445,1631.5617
-97.112391,41.253148,24.6679,1630.2493
-97.112426,41.25313,25.2581,1629.9213
-97.112459,41.253109,28.0416,1629.5932
-97.112489,41.253086,29.4351,1629.2651
-97.112512,41.25306,31.2177,1629.5932
-97.112534,41.253033,31.4517,1630.5774
-97.112559,41.253008,40.6285,1630.5774
-97.112581,41.252981,35.8487,1630.5774
-97.112604,41.252955,35.7019,1630.2493
-97.112623,41.252927,31.4561,1629.9213
-97.11264,41.252899,32.0748,1630.2493
-97.11266,41.252871,27.2113,1629.5932
-97.112676,41.252843,26.3897,1629.5932
-97.112691,41.252814,28.3062,1630.2493
-97.112708,41.252784,27.1762,1629.2651
-97.11272,41.252755,31.9854,1629.9213
-97.112739,41.252727,31.0832,1628.2808
-97.112754,41.252698,29.1998,1627.6247
-97.112769,41.252669,27.0006,1627.9528
-97.112783,41.25264,29.3341,1627.9528
-97.112796,41.252609,25.0348,1628.6089
-97.112811,41.252578,26.1988,1628.937
-97.112827,41.25255,28.0423,1628.937
-97.112842,41.252522,30.9781,1628.937
-97.112858,41.252493,31.4151,1628.2808
-97.112873,41.252463,33.2917,1627.9528
-97.112885,41.252433,35.837,1627.6247
-97.112896,41.252404,38.028,1627.2966
-97.112907,41.252374,32.0549,1627.6247
-97.11292,41.252345,32.8142,1627.9528
-97.112937,41.252318,34.3745,1628.2808
-97.112953,41.252289,31.1249,1628.2808
-97.112969,41.252261,28.6443,1628.2808
-97.112989,41.252233,26.6527,1627.6247
-97.113009,41.252205,25.8104,1626.9685
-97.113021,41.252176,29.5691,1627.2966
-97.113032,41.252145,30.2827,1628.2808
-97.113045,41.252116,25.4447,1626.9685
-97.113058,41.252087,26.0257,1625.3281
-97.113064,41.252058,24.3477,1627.6247
-97.113071,41.252026,22.4655,1628.6089
-97.113067,41.251992,20.859,1629.9213
-97.113054,41.251962,23.9,1632.2178
-97.113041,41.251932,27.6185,1632.2178
-97.113026,41.251905,30.4333,1632.2178
-97.113006,41.25188,33.1333,1632.2178
-97.112987,41.251857,34.1899,1630.5774
-97.112973,41.251835,32.9519,1628.2808
-97.112952,41.251808,39.0596,1629.2651
-97.112932,41.251781,37.9181,1629.5932
-97.112914,41.251754,46.8621,1629.9213
-97.112898,41.251726,41.0068,1630.5774
-97.112878,41.251699,41.6397,1631.5617
-97.112859,41.251673,49.3889,1631.8898
-97.112843,41.251645,47.8041,1631.8898
-97.112826,41.251617,47.5307,1631.8898
-97.112808,41.251588,47.2953,1632.5459
-97.11279,41.25156,41.6159,1632.5459
-97.112772,41.251533,42.8502,1632.2178
-97.112753,41.251507,41.8925,1632.2178
-97.112733,41.251479,42.2382,1632.2178
-97.112713,41.251452,45.4104,1631.8898
-97.112692,41.251426,47.1677,1631.8898
-97.112672,41.251398,31.9862,1631.5617
-97.112653,41.251372,33.1821,1631.5617
-97.112636,41.251346,34.356,1631.8898
-97.112616,41.251319,40.1296,1631.8898
-97.112598,41.251292,42.1576,1631.8898
-97.112579,41.251265,41.667,1631.8898
-97.11256,41.251238,43.1263,1631.8898
-97.112539,41.251212,47.1048,1631.8898
-97.112518,41.251185,52.7588,1631.8898
-97.112497,41.251158,49.2053,1631.8898
-97.112476,41.251133,54.4407,1631.5617
-97.112454,41.251108,45.7643,1631.2336
-97.11243,41.251083,40.7405,1630.5774
-97.112407,41.251059,50.0278,1630.5774
-97.112382,41.251035,50.8754,1630.9055
-97.112356,41.251012,45.9317,1631.2336
-97.11233,41.250993,60.8262,1631.5617
-97.112305,41.250976,48.6971,1631.5617
-97.112279,41.25096,52.3728,1631.5617
-97.112252,41.250945,52.4383,1631.8898
-97.112223,41.250933,47.3972,1631.8898
-97.112192,41.250922,45.8484,1631.5617
-97.112164,41.250911,51.034,1632.2178
-97.112132,41.250902,44.8088,1632.5459
-97.112101,41.250893,46.2145,1632.874
-97.112063,41.250883,32.9463,1632.874
-97.112024,41.250874,30.5994,1632.874
-97.111984,41.250864,30.6131,1632.874
-97.111945,41.250854,29.8514,1632.5459
-97.111905,41.250843,27.5026,1632.2178
-97.111865,41.250833,27.3906,1631.8898
-97.111826,41.250824,25.8967,1631.5617
-97.111787,41.250818,26.5779,1631.2336
-97.111756,41.250811,31.3228,1631.2336
-97.111739,41.250808,58.0365,1631.2336
-97.111722,41.250804,50.0115,1631.2336
-97.111702,41.2508,40.9963,1631.2336
-97.11168,41.250795,44.5223,1631.2336
-97.111658,41.250789,51.39,1631.2336
-97.111633,41.250782,44.3361,1630.9055
-97.111609,41.250775,51.3425,1631.2336
-97.111585,41.250767,55.0264,1631.2336
-97.111565,41.250755,55.2379,1631.2336
-97.111552,41.250738,58.3318,1631.2336
-97.111549,41.250721,81.1193,1631.5617
-97.11155,41.250699,50.786,1631.8898
-97.111556,41.250673,38.7173,1633.5302
-97.111563,41.250646,34.6559,1634.8425
-97.111572,41.250617,25.6744,1635.4987
-97.11158,41.250585,19.6635,1635.8268
-97.11158,41.250548,18.9682,1635.8268
-97.111574,41.250512,21.2483,1634.5144
-97.111565,41.250475,20.5121,1634.1864
-97.111552,41.250439,23.3717,1634.5144
-97.111527,41.250412,30.1203,1634.8425
-97.111502,41.250387,41.0317,1634.5144
-97.11148,41.250364,45.7248,1634.5144
-97.11146,41.250346,58.9704,1634.5144
-97.111441,41.250328,43.3459,1634.5144
-97.111421,41.250312,42.42,1634.5144
-97.1114,41.250296,40.206,1634.8425
-97.111378,41.25028,38.3361,1634.8425
-97.111358,41.250263,43.8854,1635.1706
-97.111335,41.250248,39.8381,1635.4987
-97.111313,41.250233,41.0166,1635.8268
-97.111294,41.250218,41.528,1636.1549
-97.111274,41.250202,42.1179,1636.1549
-97.111256,41.25019,46.6454,1636.1549
-97.111239,41.250177,53.7707,1636.4829
-97.11122,41.250166,45.8481,1636.4829
-97.111201,41.250154,45.6037,1636.811
-97.111182,41.250143,47.1247,1636.1549
-97.111166,41.25013,48.7593,1636.1549
-97.11115,41.250116,51.5895,1636.1549
-97.111135,41.250101,51.4748,1635.8268
-97.111121,41.250086,45.7192,1635.8268
-97.111107,41.250071,43.2518,1635.8268
-97.111093,41.250057,46.1158,1636.1549
-97.111077,41.250043,42.7976,1636.4829
-97.111061,41.25003,43.7332,1636.1549
-97.111043,41.250017,41.9443,1636.1549
-97.111026,41.250005,42.8807,1636.4829
-97.111007,41.249994,44.8003,1636.811
-97.110988,41.249984,43.0919,1637.1391
-97.110966,41.249974,36.6128,1637.1391
-97.110945,41.249964,34.7773,1636.4829
-97.110923,41.249957,34.2183,1636.1549
-97.110899,41.24995,35.7341,1635.8268
-97.110875,41.249946,37.8207,1635.8268
-97.11085,41.24994,33.7656,1636.1549
-97.110819,41.249935,30.6477,1636.4829
-97.110787,41.249931,28.2881,1636.811
-97.110758,41.249928,29.7554,1637.1391
-97.110726,41.249926,27.1096,1637.7953
-97.110694,41.249924,21.8664,1638.1234
-97.110657,41.249922,21.0026,1638.4514
-97.110621,41.249923,21.1816,1639.1076
-97.110583,41.249923,21.5388,1639.4357
-97.110544,41.249921,20.0189,1639.4357
-97.110507,41.249922,20.7248,1640.0919
-97.11047,41.249922,20.3311,1640.748
-97.110433,41.249921,24.0762,1641.4042
-97.110394,41.24992,25.6008,1641.4042
-97.110355,41.24992,29.5903,1641.7323
-97.110315,41.24992,30.7908,1641.7323
-97.110277,41.249918,28.2231,1641.7323
-97.110239,41.249917,30.5248,1641.7323
-97.110201,41.24992,19.6545,1641.7323
-97.110165,41.24993,19.9123,1641.7323
-97.110134,41.249947,25.0568,1642.0604
-97.110113,41.249972,26.8745,1642.3885
-97.110105,41.25,31.4893,1642.3885
-97.110104,41.25003,31.5899,1642.3885
-97.110103,41.250058,31.7901,1642.3885
-97.110101,41.250087,29.876,1642.3885
-97.1101,41.250116,30.6368,1642.7165
-97.110099,41.250145,29.5334,1642.7165
-97.110099,41.250174,34.0358,1642.7165
-97.1101,41.250203,33.1106,1642.7165
-97.1101,41.250232,32.287,1642.7165
-97.110101,41.25026,28.4584,1643.0446
-97.110102,41.250289,29.8902,1643.0446
-97.110103,41.250317,25.5711,1643.7008
-97.110105,41.250346,20.2722,1643.7008
-97.110106,41.250376,23.8333,1643.3727
-97.110108,41.250406,22.3408,1643.0446
-97.110107,41.250434,22.3339,1643.3727
-97.110104,41.250462,22.5769,1643.3727
-97.110211,41.250386,28.9118,1642.3885
-97.110226,41.250363,25.682,1642.3885
-97.110235,41.250338,25.4699,1642.0604
-97.11024,41.250314,25.0484,1642.0604
-97.11024,41.250288,25.5317,1642.0604
-97.110239,41.250261,25.2431,1642.0604
-97.110241,41.250234,23.3972,1642.0604
-97.110242,41.250207,22.1759,1642.0604
-97.11024,41.25018,23.5246,1642.0604
-97.11024,41.250154,23.5892,1642.0604
-97.11024,41.250127,23.8954,1642.0604
-97.110239,41.2501,28.6972,1642.3885
-97.110239,41.250073,31.9895,1642.3885
-97.110238,41.250046,34.931,1642.0604
-97.110237,41.250019,29.5025,1642.0604
-97.110234,41.249993,29.3305,1642.0604
-97.110228,41.249967,21.7638,1642.3885
-97.110274,41.249974,28.5904,1641.7323
-97.110312,41.249975,28.8292,1641.7323
-97.110348,41.249977,27.0766,1641.7323
-97.110387,41.249977,23.2052,1641.7323
