lon,lat,yld_vol_dr,elevation_
-97.110119,41.253767,23.6803,1638.1234
-97.110121,41.253797,44.6275,1637.7953
-97.110121,41.253828,62.2351,1638.4514
-97.110121,41.253859,95.8386,1638.4514
-97.110121,41.253889,137.5981,1639.1076
-97.110121,41.253918,106.67,1639.4357
-97.11012,41.253947,107.4997,1639.4357
-97.11012,41.253977,117.9185,1639.7638
-97.110121,41.254007,145.1361,1640.0919
-97.110119,41.254036,108.3374,1640.4199
-97.110119,41.254065,109.8679,1640.748
-97.11012,41.254095,137.9527,1641.4042
-97.11012,41.254124,123.9277,1642.3885
-97.110118,41.254155,117.9352,1642.0604
-97.11012,41.254184,100.8923,1642.7165
-97.11012,41.254215,100.014,1643.0446
-97.110122,41.254247,68.1187,1643.0446
-97.110126,41.254279,66.6631,1642.7165
-97.11013,41.25431,65.2007,1642.3885
-97.110136,41.254341,61.7743,1642.3885
-97.110139,41.254371,53.707,1642.3885
-97.110144,41.254402,62.7867,1642.3885
-97.110144,41.25443,100.4602,1642.7165
-97.110145,41.25446,95.768,1643.0446
-97.110146,41.25449,101.136,1643.0446
-97.110148,41.254519,94.5518,1643.7008
-97.110149,41.254547,59.1078,1644.0289
-97.110153,41.254576,41.185,1644.357
-97.110155,41.254604,32.5355,1644.685
-97.110161,41.25463,17.7035,1645.6693
-97.110168,41.254641,40.3175,1646.3255
-97.110202,41.254647,32.3349,1643.7008
-97.110242,41.254655,35.8915,1643.3727
-97.110281,41.254657,56.9837,1643.7008
-97.110324,41.254657,63.7646,1643.0446
-97.110365,41.254656,79.7304,1642.3885
-97.110406,41.254655,87.154,1642.0604
-97.110447,41.254653,86.7737,1641.4042
-97.110488,41.254654,95.459,1641.0761
-97.110528,41.254654,96.4229,1641.4042
-97.110567,41.254653,99.6145,1641.4042
-97.110608,41.254654,105.1432,1641.4042
-97.110649,41.254655,85.0451,1641.0761
-97.110689,41.254655,94.639,1641.4042
-97.11073,41.254655,86.9071,1641.0761
-97.11077,41.254655,75.3783,1641.4042
-97.11081,41.254656,65.3391,1642.0604
-97.110852,41.254656,49.9292,1641.4042
-97.110895,41.254656,48.5441,1641.0761
-97.110939,41.254656,62.8676,1640.4199
-97.110983,41.254657,87.5514,1639.4357
-97.111027,41.254657,91.073,1638.7795
-97.111068,41.254657,100.0013,1638.4514
-97.111105,41.254658,108.003,1638.1234
-97.111142,41.254658,111.5037,1638.4514
-97.11118,41.254657,118.255,1638.7795
-97.111221,41.254656,108.356,1639.1076
-97.111259,41.254654,122.6426,1638.7795
-97.111299,41.254654,130.9344,1638.7795
-97.111335,41.254654,137.0915,1639.1076
-97.111373,41.254654,127.8724,1638.7795
-97.111412,41.254654,141.4922,1638.7795
-97.11145,41.254655,151.2633,1638.7795
-97.111486,41.254657,174.8261,1638.7795
-97.111524,41.254657,156.5063,1638.7795
-97.111561,41.254657,137.6341,1639.1076
-97.111598,41.254656,126.7057,1638.7795
-97.111638,41.254656,121.799,1638.7795
-97.111677,41.254652,124.7404,1638.4514
-97.111714,41.254645,112.0749,1638.7795
-97.111753,41.254638,87.2187,1638.4514
-97.111791,41.254628,91.7436,1638.1234
-97.111831,41.254619,95.1315,1637.1391
-97.111871,41.25461,89.3617,1636.1549
-97.11191,41.254602,91.628,1635.4987
-97.111949,41.254592,113.8175,1634.5144
-97.111986,41.254583,145.7296,1633.8583
-97.112022,41.254573,115.8321,1633.5302
-97.112059,41.254564,87.8001,1633.5302
-97.112094,41.254555,49.4203,1633.5302
-97.112131,41.254544,28.309,1633.5302
-97.11217,41.254531,20.5765,1632.874
-97.112207,41.254518,21.1493,1632.2178
-97.11222,41.254442,177.4611,1631.8898
-97.112216,41.254417,206.2326,1631.8898
-97.112211,41.254393,225.518,1631.8898
-97.112205,41.25437,187.0471,1631.8898
-97.112201,41.254345,177.2145,1631.8898
-97.112192,41.254322,174.0249,1631.8898
-97.112183,41.254299,189.0196,1631.5617
-97.112174,41.254276,161.4486,1631.2336
-97.112166,41.254253,172.8677,1631.5617
-97.112158,41.25423,158.0393,1631.5617
-97.11215,41.254207,124.5941,1631.5617
-97.112142,41.254183,93.0899,1631.2336
-97.112134,41.25416,79.1856,1631.5617
-97.112124,41.254136,62.4893,1630.9055
-97.112114,41.254113,49.373,1630.9055
-97.112106,41.254088,49.3149,1630.2493
-97.112097,41.254064,63.3906,1629.5932
-97.112087,41.254043,84.0503,1630.5774
-97.112077,41.25402,67.0858,1630.2493
-97.112067,41.253996,56.4147,1630.5774
-97.112056,41.253972,49.3919,1630.9055
-97.112043,41.253949,41.857,1631.5617
-97.112034,41.253925,45.4869,1631.5617
-97.112025,41.253903,33.3325,1631.8898
-97.112017,41.25388,21.225,1632.5459
