lon,lat,yld_vol_dr,elevation_
-97.138223,41.254928,53.9125,1628.937
-97.138223,41.254906,51.9282,1628.937
-97.138222,41.254883,46.1629,1628.937
-97.138221,41.254861,34.929,1628.6089
-97.138218,41.254839,28.6869,1628.6089
-97.138216,41.254816,23.9767,1628.2808
-97.138215,41.254795,26.6902,1628.2808
-97.138216,41.254772,33.448,1628.6089
-97.138218,41.254749,34.0638,1628.6089
-97.138218,41.254726,32.4885,1628.6089
-97.138217,41.254704,34.8148,1628.6089
-97.138216,41.254682,45.2056,1628.6089
-97.138214,41.254659,43.1146,1628.937
-97.138214,41.254637,39.4345,1628.937
-97.138213,41.254616,40.5595,1629.2651
-97.138211,41.254593,37.3167,1629.2651
-97.13821,41.25457,36.0633,1629.2651
-97.138209,41.254547,36.8418,1629.2651
-97.138207,41.254524,30.9279,1628.937
-97.138208,41.254503,34.3476,1628.937
-97.138209,41.254481,38.6927,1628.937
-97.13821,41.254457,40.532,1628.6089
-97.13821,41.254433,39.8491,1627.9528
-97.13821,41.254413,37.8359,1627.9528
-97.13821,41.254393,16.3066,1627.6247
-97.138211,41.254367,10.6568,1627.6247
-97.138212,41.25434,16.8756,1627.2966
-97.138213,41.254317,34.3554,1626.9685
-97.138212,41.254292,37.7545,1626.9685
-97.138212,41.254268,49.1736,1626.6404
-97.138215,41.254245,57.7919,1626.6404
-97.138212,41.254222,51.7996,1626.6404
-97.138207,41.254197,43.4438,1626.3123
-97.138196,41.254172,39.827,1625.6562
-97.138182,41.254149,36.9035,1625.3281
-97.138049,41.254157,43.2716,1621.7192
-97.138034,41.254166,70.2168,1621.063
-97.138134,41.254177,40.3895,1624.3438
-97.138141,41.254197,40.9123,1625
-97.138146,41.254219,48.2892,1625.3281
-97.138148,41.254241,49.4316,1625.3281
-97.138147,41.254264,51.4561,1625
-97.138148,41.254286,59.2502,1625
-97.138148,41.254306,60.1997,1625.3281
-97.138146,41.254328,49.4116,1625.3281
-97.138146,41.254349,50.5327,1625.3281
-97.138145,41.254369,53.0716,1625.6562
-97.138146,41.254389,58.7557,1626.3123
-97.138147,41.254411,52.4907,1627.2966
-97.138147,41.254432,48.6787,1627.6247
-97.138147,41.254453,41.7023,1628.2808
-97.138147,41.254475,36.1382,1628.6089
-97.138146,41.254497,38.2499,1628.937
-97.138148,41.254518,37.4218,1629.2651
-97.138149,41.254541,24.0278,1629.2651
-97.138148,41.254562,23.4842,1629.2651
-97.13815,41.254583,36.0866,1629.5932
-97.138151,41.254604,37.6264,1629.9213
-97.138154,41.254627,39.339,1629.9213
-97.138155,41.254649,39.7425,1630.2493
-97.138155,41.254671,39.1018,1629.9213
-97.138154,41.254692,38.4032,1629.5932
-97.138155,41.254713,39.5996,1629.2651
-97.138156,41.254735,38.2034,1629.2651
-97.138157,41.254757,43.9384,1628.937
-97.138157,41.25478,48.8028,1628.6089
-97.138159,41.254803,50.1595,1627.9528
-97.13816,41.254826,47.0297,1627.6247
-97.138161,41.254847,54.8598,1627.9528
-97.138163,41.254869,66.356,1627.9528
-97.138162,41.254892,52.3231,1627.6247
-97.138164,41.254914,52.1877,1627.6247
-97.138165,41.254935,44.3684,1627.6247
-97.138101,41.254976,73.4505,1629.9213
-97.138073,41.254975,38.1691,1629.9213
-97.138042,41.254976,39.0414,1629.5932
-97.138008,41.254978,41.1548,1628.6089
-97.137973,41.254978,40.0637,1627.9528
-97.13794,41.254976,45.245,1627.6247
-97.137909,41.254973,50.1353,1627.2966
-97.137877,41.25497,49.3217,1626.6404
-97.137845,41.254966,55.5517,1626.3123
-97.137813,41.254963,66.9987,1625.6562
-97.137781,41.254959,61.2778,1625.3281
-97.137747,41.254955,75.0817,1624.6719
-97.137715,41.25495,52.8895,1624.0157
-97.137683,41.254947,76.535,1623.6877
-97.137651,41.25494,64.8573,1623.3596
-97.137619,41.254935,51.1142,1623.0315
-97.137584,41.254929,38.8004,1622.0472
-97.137997,41.254936,10.4254,1628.2808
-97.137927,41.254933,20.9721,1628.6089
-97.137891,41.254931,32.1239,1628.2808
-97.137854,41.254929,33.2997,1627.2966
-97.137818,41.254923,37.6404,1626.6404
-97.137783,41.254918,50.9128,1626.6404
-97.137748,41.254913,52.7243,1625.9843
-97.137712,41.254907,45.7876,1625.3281
-97.137676,41.254902,40.3831,1624.6719
-97.137642,41.254897,53.2639,1624.3438
-97.13761,41.254891,47.2933,1624.0157
-97.138116,41.254856,43.85,1630.5774
-97.138114,41.25483,43.6243,1628.937
-97.138112,41.254804,36.3853,1627.9528
-97.138111,41.254777,21.3304,1628.2808
-97.138108,41.25475,23.8088,1628.2808
-97.138107,41.254723,31.6441,1628.2808
-97.138109,41.254695,34.272,1627.9528
-97.138106,41.254666,30.5909,1627.2966
-97.138102,41.25464,27.0326,1627.6247
-97.138102,41.254612,33.2017,1627.6247
-97.138102,41.254585,41.4622,1627.2966
-97.138101,41.254556,43.6256,1626.9685
-97.1381,41.254527,49.776,1626.9685
-97.1381,41.254499,54.0726,1626.9685
-97.138101,41.254471,57.7436,1626.6404
-97.138101,41.254443,63.1131,1626.6404
-97.138101,41.254414,68.6707,1625.9843
-97.138102,41.254385,69.753,1625
-97.138103,41.254357,79.0157,1625
-97.138101,41.254328,77.9832,1625.9843
-97.138101,41.2543,89.295,1626.3123
-97.138101,41.254272,61.2392,1626.6404
-97.138099,41.254244,50.0439,1626.6404
-97.138096,41.25422,39.7863,1627.2966
-97.137968,41.254216,48.851,1623.3596
-97.13794,41.254238,54.1361,1623.0315
-97.137846,41.254302,67.292,1622.0472
-97.137827,41.254315,69.4026,1622.3753
-97.137808,41.254331,70.3142,1622.3753
-97.137786,41.254345,60.2813,1622.3753
-97.137765,41.254361,61.295,1622.3753
-97.137745,41.254379,56.9729,1622.0472
-97.137728,41.254398,67.1691,1622.0472
-97.137714,41.254419,69.2136,1622.0472
-97.137703,41.25444,79.0822,1622.0472
-97.137695,41.254461,77.8723,1622.0472
-97.137688,41.254482,66.6561,1622.3753
-97.137681,41.254502,69.0201,1622.7034
-97.137674,41.254523,84.3612,1623.0315
-97.137666,41.254547,88.0462,1623.3596
-97.137656,41.254572,83.5634,1623.3596
-97.137647,41.254596,86.3667,1623.6877
-97.137639,41.25462,82.3047,1624.0157
-97.137632,41.254645,70.1138,1624.3438
-97.137622,41.25467,73.9552,1624.6719
-97.137613,41.254695,73.3292,1624.3438
-97.137606,41.25472,73.7689,1625
-97.137595,41.254747,79.9781,1624.3438
-97.137586,41.254772,78.7865,1624.0157
-97.137577,41.254796,79.0216,1624.3438
-97.137569,41.25482,47.5529,1625
-97.137561,41.254845,37.6475,1625
-97.137636,41.254796,51.4997,1625.3281
-97.137645,41.254771,44.1888,1625
-97.137653,41.254747,43.1354,1625
-97.137661,41.254721,44.1963,1625.3281
-97.137671,41.254696,49.7955,1625.9843
-97.137679,41.25467,42.8529,1625.6562
-97.137689,41.254646,44.3228,1625.3281
-97.137698,41.25462,39.0188,1625.3281
-97.137706,41.254594,43.898,1625.3281
-97.137717,41.254562,43.7714,1624.3438
-97.137728,41.254534,43.6041,1623.6877
-97.137734,41.254509,38.4123,1624.3438
-97.137745,41.254486,35.0937,1624.0157
-97.137754,41.254463,36.7687,1624.0157
-97.137766,41.25444,35.5372,1623.6877
-97.137783,41.254417,33.6076,1623.3596
-97.137805,41.254396,34.8699,1622.7034
-97.137828,41.254378,36.7687,1622.7034
-97.137853,41.254359,34.5455,1622.0472
-97.137878,41.254343,81.8587,1622.3753
-97.137902,41.254324,87.5747,1622.7034
-97.137927,41.254307,72.5754,1623.0315
-97.137952,41.254287,67.4575,1623.0315
-97.137976,41.25427,64.2334,1623.3596
-97.138,41.254252,45.0697,1623.6877
-97.138022,41.254234,38.5841,1624.0157
-97.138042,41.254219,42.1,1625.3281
-97.138059,41.254201,28.2864,1625.9843
-97.138043,41.254298,68.506,1624.6719
-97.138044,41.254323,62.6912,1625
-97.138043,41.254347,56.3514,1625.3281
-97.138042,41.254371,53.9573,1625.9843
-97.138042,41.254395,52.3166,1626.3123
-97.13804,41.25442,61.7498,1626.9685
-97.13804,41.254442,59.9935,1627.6247
-97.138039,41.254466,53.8224,1627.6247
-97.138041,41.25449,59.3115,1627.9528
-97.138043,41.254513,50.6196,1628.2808
-97.138043,41.254537,31.9378,1628.6089
-97.138046,41.254561,32.0759,1629.2651
-97.138047,41.254584,37.3052,1629.9213
-97.138046,41.254611,39.3383,1630.2493
-97.138047,41.254638,38.584,1629.9213
-97.138048,41.254663,33.2535,1629.9213
-97.13805,41.254688,20.2907,1629.9213
-97.138052,41.254714,31.2394,1629.5932
-97.138055,41.254741,37.8378,1629.5932
-97.138057,41.254771,35.7335,1629.2651
-97.13806,41.254797,43.4001,1629.2651
-97.138059,41.254825,41.4033,1629.5932
-97.138059,41.254853,33.8476,1629.2651
-97.138059,41.254879,20.9838,1629.2651
-97.138013,41.254905,32.9751,1630.5774
-97.138011,41.254876,32.0486,1629.2651
-97.138007,41.254848,18.5837,1628.2808
-97.138005,41.254821,18.5582,1627.9528
-97.138005,41.254794,16.3997,1627.9528
-97.138005,41.254764,14.767,1627.6247
-97.138003,41.254736,29.0502,1627.9528
-97.138002,41.254707,34.6999,1627.6247
-97.138001,41.254678,46.3548,1626.9685
-97.138,41.254651,37.7651,1626.9685
-97.138,41.254623,31.9024,1626.6404
-97.138,41.254596,40.3484,1626.6404
-97.137998,41.254565,40.5518,1626.3123
-97.137997,41.254533,39.7697,1625
-97.137994,41.254502,43.744,1624.0157
-97.137998,41.254472,63.16,1623.0315
-97.137998,41.254442,67.5136,1622.3753
-97.137997,41.254413,73.304,1621.7192
-97.137996,41.254382,93.4932,1622.7034
-97.137997,41.254352,97.3933,1623.3596
-97.137997,41.254324,48.9685,1623.6877
-97.137942,41.254344,61.3027,1622.0472
-97.137942,41.254373,67.5663,1622.3753
-97.137939,41.254399,60.1371,1623.0315
-97.13794,41.254426,44.0408,1624.0157
-97.13794,41.254453,37.2231,1624.3438
-97.137941,41.25448,43.8402,1625.3281
-97.137942,41.254506,44.5255,1626.3123
-97.137944,41.254533,36.5979,1627.2966
-97.137943,41.25456,25.6495,1628.2808
-97.137942,41.254589,16.894,1628.937
-97.137944,41.25462,19.7071,1628.6089
-97.137946,41.254649,30.0493,1628.937
-97.137946,41.254678,29.2685,1629.2651
-97.137945,41.254708,15.4551,1628.937
-97.137947,41.254737,14.1971,1628.937
-97.137947,41.254767,24.4228,1628.937
-97.137947,41.254797,29.2713,1628.2808
-97.13795,41.254827,23.2815,1628.2808
-97.13795,41.254854,12.1092,1628.937
-97.137842,41.254882,36.438,1627.9528
-97.137842,41.254852,37.3247,1627.9528
-97.137842,41.254824,44.5756,1627.9528
-97.13784,41.254795,43.1317,1627.6247
-97.13784,41.254766,45.7841,1627.2966
-97.137839,41.254739,49.0253,1627.6247
-97.137838,41.254712,49.4391,1627.9528
-97.137836,41.254686,54.0882,1628.6089
-97.137837,41.254657,59.1084,1628.6089
-97.137837,41.254627,54.7534,1627.9528
-97.137835,41.254597,52.728,1627.6247
-97.137835,41.254569,48.8514,1627.6247
-97.137836,41.25454,43.3782,1627.6247
-97.137836,41.254508,40.2327,1626.6404
-97.137836,41.254478,36.4688,1624.3438
-97.137836,41.254447,32.7913,1622.3753
-97.137889,41.254438,43.2152,1624.3438
-97.13789,41.254465,37.4614,1625
-97.13789,41.254492,37.8747,1625.9843
-97.13789,41.254517,51.8599,1627.2966
-97.13789,41.254542,45.0316,1628.2808
-97.137889,41.254572,41.5165,1628.937
-97.13789,41.254601,44.7037,1629.5932
-97.13789,41.25463,42.1199,1630.2493
-97.137889,41.254659,34.3883,1630.9055
-97.13789,41.254688,31.9224,1630.9055
-97.13789,41.254718,28.4203,1630.9055
-97.137889,41.254749,28.2401,1630.5774
-97.137889,41.254778,28.7258,1630.2493
-97.137893,41.254807,27.0794,1630.5774
-97.137895,41.254835,23.7914,1630.9055
-97.137896,41.254864,20.2663,1630.5774
-97.137792,41.254889,46.4145,1628.2808
-97.137793,41.254855,50.5933,1628.6089
-97.13779,41.254822,54.2654,1628.937
-97.137789,41.254791,53.6238,1628.937
-97.137789,41.254758,47.9794,1629.2651
-97.13779,41.254726,48.7219,1629.2651
-97.137786,41.254696,56.24,1629.9213
-97.137786,41.254668,62.7177,1629.9213
-97.137786,41.254639,72.5709,1629.9213
-97.137786,41.254608,61.188,1629.5932
-97.137784,41.254579,68.91,1629.2651
-97.137782,41.254549,52.2347,1628.937
-97.137783,41.254517,31.9483,1627.9528
-97.137784,41.254487,18.4913,1627.2966
-97.137732,41.254718,48.2374,1629.5932
-97.137733,41.254754,76.037,1629.5932
-97.137732,41.254785,42.8428,1629.2651
-97.137733,41.254812,40.4012,1629.2651
-97.137734,41.254836,46.3558,1629.9213
-97.137732,41.254862,31.2034,1630.2493
-97.13768,41.254806,43.6253,1628.6089
-97.13768,41.254834,34.8293,1629.2651
-97.137679,41.254857,22.87,1629.5932
-97.136219,41.254911,48.5099,1627.9528
-97.136247,41.254924,52.6775,1628.2808
-97.136276,41.254938,60.8597,1628.2808
-97.136307,41.254948,64.9084,1628.6089
-97.136341,41.254957,59.8204,1628.2808
-97.136375,41.254961,71.834,1628.2808
-97.136408,41.254965,60.3808,1628.6089
-97.136442,41.254969,53.151,1628.937
-97.136475,41.25497,60.44,1629.2651
-97.136509,41.254972,68.8929,1629.2651
-97.136544,41.254972,63.5375,1628.937
-97.136579,41.254975,61.3604,1628.937
-97.136613,41.254975,63.7567,1628.937
-97.136646,41.254974,63.0967,1629.2651
-97.136681,41.254975,51.1736,1629.5932
-97.136715,41.254975,53.5073,1629.5932
-97.136748,41.254975,55.9684,1629.9213
-97.136783,41.254975,50.9349,1629.9213
-97.136819,41.254975,62.9819,1629.9213
-97.136854,41.254975,72.2018,1629.5932
-97.136889,41.254973,65.7546,1629.5932
