lon,lat,yld_vol_dr,elevation_
-97.127858,41.264801,60.3109,1649.9344
-97.127859,41.264827,54.6099,1649.9344
-97.127857,41.264853,59.8194,1649.6063
-97.127856,41.264878,62.397,1649.6063
-97.127857,41.264903,70.0686,1650.2625
-97.127858,41.264928,68.1242,1650.2625
-97.127857,41.264953,47.2956,1650.2625
-97.127856,41.264979,38.6086,1650.2625
-97.127856,41.265003,40.1422,1650.2625
-97.127855,41.265028,50.8715,1650.5906
-97.127854,41.265053,52.1659,1650.5906
-97.127854,41.265078,54.7934,1650.5906
-97.127852,41.265104,61.2073,1650.2625
-97.127852,41.265129,69.3847,1650.2625
-97.127851,41.265155,71.4554,1649.6063
-97.127851,41.26518,76.8006,1649.6063
-97.127849,41.265205,77.5742,1649.6063
-97.127849,41.26523,70.6916,1649.6063
-97.127849,41.265256,55.5241,1649.6063
-97.127848,41.26528,63.6852,1649.6063
-97.127848,41.265306,54.2308,1649.6063
-97.127847,41.265331,58.9136,1649.9344
-97.127846,41.265357,61.2892,1649.6063
-97.127845,41.265382,63.8364,1649.6063
-97.127845,41.265407,65.9953,1649.6063
-97.127845,41.265432,74.8725,1649.6063
-97.127845,41.265457,84.6262,1649.9344
-97.127845,41.265483,88.8919,1649.9344
-97.127844,41.265508,77.9656,1649.9344
-97.127844,41.265533,75.9015,1649.9344
-97.127844,41.265558,74.8559,1650.2625
-97.127843,41.265584,68.9379,1650.2625
-97.127841,41.265609,76.1814,1649.6063
-97.127841,41.265635,74.6404,1649.6063
-97.127842,41.26566,80.7189,1649.2782
-97.12784,41.265685,81.9807,1649.2782
-97.12784,41.26571,87.1125,1649.6063
-97.127839,41.265735,85.9622,1649.9344
-97.127838,41.26576,74.867,1650.2625
-97.127838,41.265785,61.769,1650.2625
-97.127837,41.26581,49.3928,1650.2625
-97.127838,41.265835,45.0591,1650.2625
-97.127838,41.265861,41.1655,1650.2625
-97.127838,41.265887,37.0988,1649.9344
-97.127837,41.265912,37.6924,1649.9344
-97.127838,41.265935,32.523,1649.9344
-97.12784,41.265953,42.5027,1649.9344
-97.128235,41.266253,78.1426,1648.622
