lon,lat,yld_vol_dr,elevation_
-97.126247,41.267914,72.0903,1660.105
-97.126279,41.267916,52.8461,1660.105
-97.12631,41.267915,58.9599,1659.7769
-97.126341,41.267916,61.4118,1659.7769
-97.126373,41.267916,58.0193,1659.7769
-97.126403,41.267916,59.5597,1659.7769
-97.126435,41.267916,60.4227,1659.7769
-97.126467,41.267916,55.7429,1659.4488
-97.126498,41.267917,56.593,1659.4488
-97.126529,41.267917,56.6106,1659.4488
-97.12656,41.267918,52.8077,1659.4488
-97.126591,41.267919,60.9915,1659.4488
-97.126623,41.267921,59.2162,1659.1207
-97.126654,41.267919,54.3062,1659.4488
-97.126685,41.26792,54.5002,1659.1207
-97.126716,41.267919,56.9325,1659.1207
-97.126748,41.267919,57.1458,1658.7927
-97.12678,41.267919,64.2723,1658.7927
-97.126811,41.267919,59.8628,1658.7927
-97.126842,41.26792,56.4642,1658.7927
-97.126875,41.26792,58.9772,1658.7927
-97.126907,41.267919,57.0518,1658.4646
-97.12694,41.267919,58.3564,1658.1365
-97.126973,41.26792,62.0645,1657.8084
-97.127004,41.26792,62.8481,1657.4803
-97.127038,41.26792,56.8351,1657.4803
-97.12707,41.267921,61.1308,1657.1522
-97.127106,41.267921,58.8729,1656.8241
-97.127142,41.267921,52.8178,1656.4961
-97.127176,41.267921,61.2609,1656.4961
-97.127211,41.267921,55.9374,1656.168
-97.127245,41.26792,60.6262,1655.8399
-97.12728,41.267921,57.2995,1655.8399
-97.127314,41.267922,51.9315,1655.8399
-97.127348,41.267922,63.6644,1655.8399
-97.127383,41.267923,64.7099,1655.8399
-97.127418,41.267922,58.5748,1655.8399
-97.127453,41.267922,53.4514,1656.168
-97.127488,41.267921,53.9567,1656.168
-97.127523,41.267921,55.8736,1655.8399
-97.127558,41.267922,61.3095,1655.5118
-97.127593,41.267922,62.6758,1655.5118
-97.127627,41.267923,60.2932,1655.5118
-97.127662,41.267922,59.575,1655.5118
-97.127697,41.267922,61.373,1655.1837
-97.127731,41.267923,59.9761,1655.1837
-97.127767,41.267923,58.9225,1655.1837
-97.127801,41.267923,63.747,1655.1837
-97.127836,41.267922,55.8979,1655.1837
-97.127871,41.267922,55.641,1655.1837
-97.127905,41.267923,61.4086,1655.1837
-97.127941,41.267923,56.3588,1655.5118
-97.127976,41.267924,64.8397,1655.1837
-97.128012,41.267923,69.5805,1655.1837
-97.128047,41.267923,59.9607,1654.8556
-97.128083,41.267923,45.8354,1654.5276
-97.128117,41.267923,50.4888,1654.5276
-97.128121,41.267919,169.5116,1654.8556
-97.128125,41.267898,69.4641,1654.8556
-97.128126,41.26787,61.7955,1654.8556
-97.12813,41.267841,56.1992,1654.8556
-97.128131,41.267813,55.8275,1655.1837
-97.128132,41.267785,53.3285,1654.8556
-97.128132,41.267756,49.9854,1654.8556
-97.128133,41.267728,48.7843,1654.8556
-97.128134,41.2677,54.6224,1654.8556
-97.128136,41.267672,55.7055,1654.8556
-97.128137,41.267643,57.5911,1654.8556
-97.128137,41.267614,63.697,1654.8556
-97.128139,41.267586,57.3714,1654.8556
-97.12814,41.267557,60.3002,1654.8556
-97.128141,41.267528,56.7353,1654.8556
-97.128141,41.2675,53.0328,1654.8556
-97.128142,41.267472,62.0073,1654.8556
-97.128143,41.267444,59.2389,1654.8556
-97.128143,41.267416,61.0768,1654.8556
-97.128143,41.267387,56.4459,1654.8556
-97.128144,41.267359,53.8139,1654.8556
-97.128144,41.26733,54.4652,1654.8556
-97.128145,41.267302,53.5431,1654.8556
-97.128146,41.267274,59.9513,1654.8556
-97.128148,41.267245,56.8452,1654.5276
-97.12815,41.267216,58.1837,1654.8556
-97.128152,41.267188,59.4914,1654.8556
-97.128151,41.267159,52.5822,1654.8556
-97.128151,41.267131,52.1495,1654.8556
-97.128152,41.267102,59.7967,1654.8556
-97.128153,41.267073,57.1222,1654.8556
-97.128154,41.267045,60.3522,1654.5276
-97.128156,41.267016,62.1787,1654.5276
-97.128157,41.266988,56.7374,1654.5276
-97.128157,41.266959,60.2164,1654.5276
-97.128158,41.266931,61.2978,1654.5276
-97.128158,41.266902,57.9058,1654.5276
-97.128159,41.266874,58.6394,1654.1995
-97.12816,41.266845,53.1789,1654.1995
-97.12816,41.266817,58.8031,1653.8714
-97.12816,41.266789,60.2778,1653.5433
-97.128161,41.266761,57.4297,1653.2152
-97.128162,41.266732,53.0374,1653.2152
-97.128162,41.266704,54.9375,1653.2152
-97.128162,41.266676,50.6001,1653.2152
-97.128162,41.266647,52.0331,1653.2152
-97.128164,41.266618,54.3334,1653.2152
-97.128165,41.26659,51.9241,1652.8871
-97.128165,41.266561,49.4029,1652.8871
-97.128165,41.266534,48.3198,1652.231
-97.128166,41.266506,51.8975,1651.9029
-97.128167,41.266476,59.0742,1651.9029
-97.128168,41.266447,56.4323,1652.231
