lon,lat,yld_vol_dr,elevation_
-97.329468,41.281535,198.3149,1650.5906
-97.329434,41.281535,206.9932,1650.5906
-97.3294,41.281534,260.6946,1650.5906
-97.329365,41.281533,232.736,1649.9344
-97.329331,41.281531,226.9951,1649.9344
-97.329299,41.281532,242.233,1649.9344
-97.329267,41.281534,243.3335,1649.9344
-97.329234,41.281535,252.9752,1649.9344
-97.329201,41.281536,272.5317,1649.9344
-97.329168,41.281536,282.0057,1649.6063
-97.329135,41.281537,258.0696,1649.2782
-97.329103,41.281537,278.4576,1649.6063
-97.329068,41.281539,230.7621,1649.2782
-97.329035,41.28154,242.5434,1648.9501
-97.329001,41.281541,260.918,1648.622
-97.328967,41.281541,265.9397,1647.9659
-97.328933,41.281541,298.0491,1647.6378
-97.3289,41.28154,266.097,1647.3097
-97.328866,41.281541,265.8032,1646.9816
-97.328832,41.281542,303.0063,1646.3255
-97.328798,41.281542,231.5321,1645.9974
-97.328764,41.281543,201.9053,1645.3412
-97.328728,41.281543,250.7268,1644.357
-97.328569,41.28154,286.3722,1644.357
-97.328537,41.281542,282.4789,1644.685
-97.328505,41.281543,262.3764,1645.0131
-97.328476,41.281543,279.9751,1645.9974
-97.328445,41.281546,276.6063,1646.3255
-97.328413,41.281547,235.7352,1646.6535
-97.328381,41.281547,259.0987,1647.3097
-97.32835,41.281548,230.1816,1647.6378
-97.328318,41.281549,243.7543,1648.294
-97.328287,41.28155,252.0304,1648.622
-97.328254,41.28155,242.1124,1648.9501
-97.328219,41.281551,231.3272,1649.2782
-97.328185,41.281552,252.407,1649.6063
-97.32815,41.281553,238.1957,1649.9344
-97.328116,41.281553,255.7236,1649.9344
-97.328081,41.281554,239.1061,1650.2625
-97.328046,41.281555,243.6149,1650.5906
-97.32801,41.281556,222.2361,1650.5906
-97.327976,41.281556,256.9776,1650.9186
-97.327941,41.281557,239.4088,1651.2467
-97.327906,41.281558,261.1622,1651.2467
-97.32787,41.281559,235.8355,1651.2467
-97.327837,41.281559,259.8662,1651.2467
-97.327801,41.281558,230.5885,1650.9186
-97.327767,41.281559,259.9944,1650.9186
-97.327732,41.281559,247.7525,1650.9186
-97.327697,41.28156,253.9172,1650.9186
-97.327661,41.281561,252.2258,1650.5906
-97.327626,41.281561,260.9507,1650.9186
-97.327591,41.281562,235.6872,1650.9186
-97.327555,41.281562,242.9747,1650.9186
-97.32752,41.281563,241.896,1650.9186
-97.327485,41.281563,251.1122,1650.9186
-97.327449,41.281562,224.1,1650.5906
-97.327414,41.281565,264.2417,1650.2625
-97.327379,41.281566,259.851,1650.2625
