lon,lat,yld_vol_dr,elevation_
-97.329377,41.281015,72.4347,1646.6535
-97.329345,41.281015,65.5997,1646.3255
-97.329311,41.281015,58.1085,1645.9974
-97.329272,41.281015,52.3129,1645.3412
-97.329234,41.281015,59.8832,1645.3412
-97.329195,41.281016,66.2298,1644.685
-97.329156,41.281015,66.2628,1644.357
-97.329117,41.281014,65.2904,1643.7008
-97.329078,41.281014,68.2522,1643.3727
-97.329039,41.281015,63.6647,1642.7165
-97.328999,41.281016,58.607,1641.7323
-97.32896,41.281017,63.1494,1641.0761
-97.328922,41.281016,62.7028,1640.4199
-97.328885,41.281017,64.1608,1639.4357
-97.328853,41.281018,58.8939,1638.4514
-97.328821,41.281018,54.5206,1637.4672
-97.328788,41.281019,57.3643,1636.4829
-97.328762,41.28102,46.5343,1635.8268
-97.328739,41.28102,83.7193,1634.8425
-97.328706,41.281022,65.4937,1633.5302
-97.328673,41.281023,72.3314,1631.5617
-97.328643,41.281023,54.991,1630.5774
-97.32845,41.281024,45.8657,1631.2336
-97.328419,41.281025,66.2571,1631.2336
-97.32839,41.281026,65.7092,1631.5617
-97.328362,41.281026,67.5041,1632.2178
-97.328333,41.281027,74.4613,1633.2021
-97.328304,41.281027,70.6278,1634.5144
-97.328273,41.281026,62.3878,1635.4987
-97.328242,41.281026,60.6606,1637.1391
-97.328211,41.281028,65.13,1638.1234
-97.32818,41.281028,75.9315,1639.1076
-97.328149,41.281028,65.1239,1640.0919
-97.328119,41.281029,68.5005,1641.4042
-97.328086,41.281031,70.6066,1642.7165
-97.328051,41.281031,66.671,1643.7008
-97.328014,41.281033,51.9337,1644.357
-97.327981,41.281034,58.0623,1645.0131
-97.327948,41.281034,54.2703,1645.3412
-97.327915,41.281034,61.2647,1645.9974
-97.327882,41.281035,74.4626,1645.9974
-97.327849,41.281036,63.326,1646.6535
-97.327817,41.281036,64.9343,1646.9816
-97.327783,41.281037,62.2178,1647.3097
-97.32775,41.281038,62.2359,1647.3097
-97.327716,41.281038,54.2017,1647.3097
-97.327683,41.281038,66.2784,1647.6378
-97.327649,41.281039,77.9044,1647.6378
-97.327614,41.28104,56.9005,1647.3097
-97.327578,41.28104,63.5509,1647.6378
-97.327542,41.28104,62.0482,1647.6378
-97.327504,41.281041,63.4921,1647.6378
-97.327468,41.281042,69.1558,1647.6378
-97.32743,41.281043,63.579,1647.6378
-97.327393,41.281042,62.0089,1647.6378
-97.327354,41.281043,54.735,1647.6378
-97.327316,41.281044,60.4554,1647.6378
-97.327278,41.281045,60.8232,1647.9659
-97.32724,41.281045,58.6748,1647.9659
-97.327202,41.281046,58.0175,1647.9659
-97.327165,41.281046,67.9849,1647.9659
-97.327127,41.281045,65.0874,1647.9659
-97.32709,41.281046,56.4965,1647.9659
-97.327051,41.281047,60.5266,1647.6378
-97.327013,41.281048,52.71,1647.6378
-97.326975,41.281049,56.4558,1647.6378
-97.326937,41.281049,62.6242,1647.6378
-97.326899,41.28105,61.619,1647.6378
-97.326862,41.28105,70.2091,1647.6378
-97.326824,41.28105,67.0804,1647.6378
-97.326786,41.281051,63.1364,1647.3097
-97.326748,41.281052,55.3541,1647.3097
-97.32671,41.281052,61.7546,1647.6378
-97.326672,41.281053,57.3639,1647.3097
-97.326634,41.281054,59.3085,1647.3097
-97.326596,41.281055,70.4437,1647.3097
-97.326559,41.281055,63.0418,1646.9816
-97.326522,41.281055,60.8125,1646.9816
-97.326484,41.281056,59.3232,1646.9816
-97.326446,41.281056,64.762,1646.9816
-97.326408,41.281056,60.528,1646.9816
-97.326369,41.281057,64.7226,1646.6535
-97.326331,41.281057,54.7048,1646.6535
-97.326294,41.281058,55.3443,1646.3255
-97.326254,41.281058,55.1573,1646.3255
-97.326216,41.281058,64.2033,1646.3255
-97.326178,41.281059,60.3207,1646.3255
-97.326142,41.28106,62.0746,1646.3255
-97.326104,41.28106,61.7141,1646.3255
-97.326066,41.281061,54.7336,1646.3255
-97.326029,41.281061,58.9205,1646.3255
-97.325991,41.281062,61.6563,1646.3255
-97.325954,41.281064,67.6268,1646.3255
-97.325916,41.281064,64.0225,1646.3255
-97.325878,41.281065,60.2286,1646.3255
-97.325841,41.281066,57.1515,1646.6535
-97.325804,41.281066,62.1609,1646.6535
-97.325765,41.281067,61.6016,1646.3255
-97.325726,41.281068,53.3161,1646.3255
-97.325689,41.281068,57.139,1646.3255
-97.325652,41.281067,59.9594,1646.3255
-97.325615,41.281069,61.3798,1646.6535
-97.325578,41.28107,59.8105,1646.9816
-97.32554,41.28107,61.6714,1646.9816
-97.325503,41.281071,65.6475,1646.9816
-97.325465,41.281072,56.5451,1646.9816
-97.325426,41.281072,56.8893,1646.9816
-97.325389,41.281073,63.5933,1646.9816
-97.325352,41.281074,70.4131,1646.9816
-97.325313,41.281074,63.74,1646.9816
-97.325275,41.281075,45.827,1646.9816
-97.325238,41.281075,20.5776,1646.9816
-97.325214,41.281673,60.3813,1646.6535
-97.325243,41.281673,64.5492,1646.9816
