lon,lat,yld_vol_dr,elevation_
-97.13861,41.253206,64.0263,1626.6404
-97.138609,41.25319,56.977,1626.6404
-97.138608,41.253174,60.7607,1626.6404
-97.138608,41.253157,54.0079,1626.6404
-97.138608,41.253141,54.1602,1626.6404
-97.138607,41.253124,53.0908,1626.9685
-97.138606,41.253105,44.8362,1626.3123
-97.138607,41.253088,55.1293,1626.3123
-97.138607,41.253068,50.1174,1626.6404
-97.138605,41.253043,38.1443,1626.6404
-97.138604,41.25302,41.0243,1626.6404
-97.138604,41.252996,37.4312,1626.6404
-97.138602,41.252972,43.0563,1626.6404
-97.1386,41.252948,41.2524,1626.6404
-97.138599,41.252925,40.897,1626.6404
-97.138599,41.252902,45.2341,1626.9685
-97.138598,41.252878,48.4656,1626.9685
-97.138597,41.252854,43.5932,1626.9685
-97.138596,41.252831,43.3975,1626.9685
-97.138593,41.252807,42.6569,1626.9685
-97.138593,41.252782,47.8884,1626.6404
-97.138591,41.252756,43.4853,1626.3123
-97.13859,41.252733,48.4368,1625.9843
-97.138592,41.25271,49.9235,1627.2966
-97.13859,41.252685,54.9402,1628.6089
-97.138588,41.252663,58.9173,1627.9528
-97.138587,41.252639,54.1993,1627.2966
-97.138585,41.252615,45.2633,1626.6404
-97.138582,41.252591,41.1484,1626.3123
-97.138583,41.252569,49.5607,1626.3123
-97.138584,41.252545,40.8209,1626.3123
-97.138583,41.252521,41.9341,1625.9843
-97.138584,41.252498,38.9023,1626.3123
-97.138717,41.252477,40.2256,1625.9843
-97.138753,41.252478,39.4317,1625.9843
-97.13879,41.252479,37.6338,1625.6562
-97.138824,41.252479,41.856,1625.9843
-97.138861,41.25248,38.6033,1625.9843
-97.138898,41.25248,40.0262,1625.6562
-97.138934,41.252479,39.5103,1625.3281
-97.138971,41.25248,35.2945,1625.3281
-97.139007,41.252478,38.2284,1624.6719
-97.139042,41.252476,41.1908,1624.3438
-97.139078,41.252474,39.097,1624.3438
-97.139113,41.252474,44.6757,1625
-97.139147,41.252473,44.0954,1625
-97.139185,41.252474,42.1936,1624.6719
-97.139221,41.252473,47.7704,1624.3438
-97.139256,41.252474,51.2667,1624.6719
-97.13929,41.252473,60.2405,1624.6719
