lon,lat,yld_vol_dr,elevation_
-97.15266,41.255346,282.6463,1627.6247
-97.152661,41.25532,239.0173,1626.6404
-97.15266,41.255296,237.2475,1626.3123
-97.15266,41.255271,231.1699,1625.9843
-97.152661,41.255246,207.3047,1625.9843
-97.152661,41.255222,213.6285,1625.9843
-97.152662,41.255198,251.4441,1625.9843
-97.15266,41.255173,206.8597,1625.6562
-97.152661,41.255149,202.2869,1625.6562
-97.15266,41.255124,224.7951,1625.3281
-97.152662,41.2551,219.0336,1625
-97.152661,41.255076,231.8763,1625
-97.152661,41.255051,266.9854,1625.3281
-97.15266,41.255027,241.6677,1625.3281
-97.1527,41.255054,293.1456,1627.2966
-97.152702,41.255029,283.5479,1627.2966
-97.152701,41.255002,234.7758,1626.9685
-97.152701,41.254977,239.2227,1626.6404
-97.152701,41.254952,230.5826,1626.6404
-97.1527,41.254927,236.4394,1626.6404
-97.1527,41.254902,236.9471,1626.6404
-97.152699,41.254877,249.4194,1626.6404
-97.152699,41.254851,251.9603,1626.9685
-97.152699,41.254826,224.2951,1626.9685
-97.152698,41.254801,251.9293,1626.9685
-97.152699,41.254775,260.7254,1626.9685
-97.152698,41.25475,257.2965,1626.9685
-97.152698,41.254725,248.0061,1626.9685
-97.152697,41.2547,253.963,1626.9685
-97.152695,41.254674,248.4496,1626.9685
-97.152696,41.254649,235.1384,1626.6404
-97.152696,41.254623,245.306,1626.6404
-97.152696,41.254598,249.117,1626.9685
-97.152696,41.254572,231.8555,1626.6404
-97.152695,41.254547,236.832,1626.9685
-97.152694,41.254522,225.5404,1627.2966
-97.152695,41.254496,236.615,1626.9685
-97.152693,41.254471,231.4753,1626.9685
-97.152692,41.254446,230.6228,1626.6404
-97.152691,41.254421,254.0052,1626.6404
-97.15269,41.254396,248.2446,1626.6404
-97.152689,41.254371,236.5174,1626.9685
-97.152688,41.254346,250.1197,1626.9685
-97.152689,41.254321,264.7494,1626.9685
-97.152689,41.254296,247.198,1626.6404
-97.152688,41.25427,262.2879,1626.6404
-97.152689,41.254245,248.3903,1626.6404
-97.152689,41.254219,236.2107,1626.3123
-97.152688,41.254195,252.5539,1626.6404
-97.152687,41.25417,247.5776,1626.6404
-97.152687,41.254145,250.5092,1626.9685
-97.152686,41.25412,250.9055,1626.9685
-97.152686,41.254094,238.4409,1626.9685
-97.152686,41.254069,241.6264,1626.9685
-97.152685,41.254044,226.8637,1626.6404
-97.152685,41.254018,215.8776,1626.3123
-97.152687,41.253993,219.0617,1626.3123
-97.152686,41.253969,236.6749,1626.6404
-97.152686,41.253944,230.0805,1626.6404
-97.152686,41.253917,235.0947,1626.3123
-97.152687,41.253892,248.4602,1626.3123
-97.152687,41.253866,243.0145,1626.3123
-97.152685,41.253841,262.4044,1626.3123
-97.152685,41.253816,244.8263,1626.3123
-97.152685,41.253791,229.1794,1625.9843
-97.152685,41.253766,230.9866,1626.3123
-97.152684,41.253741,236.2675,1626.3123
-97.152683,41.253715,224.2716,1625.9843
-97.152685,41.253689,210.2462,1625.9843
