lon,lat,yld_vol_dr,elevation_
-97.152802,41.252914,68.0185,1624.6719
-97.152835,41.252912,80.9107,1624.6719
-97.152874,41.252912,58.7304,1624.6719
-97.152911,41.252913,59.9319,1624.6719
-97.152949,41.252913,55.6711,1625
-97.152985,41.252913,61.1335,1625
-97.153023,41.252912,62.4795,1625
-97.153059,41.252912,57.5935,1624.6719
-97.153095,41.252912,59.3958,1625
-97.153132,41.252911,48.9096,1625
-97.153168,41.252911,57.3916,1625
-97.153205,41.252911,48.8882,1625
-97.153241,41.25291,38.3282,1624.6719
-97.153272,41.25291,41.5842,1625
-97.153296,41.252909,85.2198,1625
-97.153332,41.252909,59.1453,1624.6719
-97.153366,41.25291,63.9259,1624.3438
-97.153404,41.252909,55.7819,1624.6719
-97.153442,41.252909,66.2153,1624.6719
-97.153482,41.252908,56.6457,1624.3438
-97.153521,41.252907,55.8611,1624.3438
-97.153561,41.252906,55.2498,1624.3438
-97.1536,41.252906,53.0379,1624.6719
-97.15364,41.252906,48.7611,1624.6719
-97.153678,41.252905,53.6644,1624.6719
-97.153717,41.252904,57.1752,1625
-97.153756,41.252903,52.6085,1625
-97.153796,41.252903,56.8108,1625.3281
-97.153835,41.252903,59.3783,1625.3281
-97.153875,41.252902,51.3433,1625.3281
-97.153914,41.252902,49.5084,1625
-97.153953,41.252901,52.7256,1625
-97.153992,41.2529,63.2817,1625.3281
-97.154032,41.252899,53.2997,1625.3281
-97.154071,41.252899,57.0228,1625.3281
-97.15411,41.252898,54.5821,1625.3281
-97.15415,41.252897,54.551,1625.3281
-97.154189,41.252898,51.7027,1625.3281
-97.154228,41.252898,53.329,1625.3281
-97.154268,41.252898,56.7327,1625.3281
-97.154306,41.252897,66.0083,1625
-97.154345,41.252896,62.7816,1625
-97.154383,41.252895,54.4233,1625
-97.154422,41.252895,54.3283,1625
-97.154461,41.252894,54.0885,1625
-97.1545,41.252893,55.6036,1625
-97.15454,41.252893,49.8862,1625
-97.154579,41.252893,47.2324,1625.3281
-97.154619,41.252892,53.3539,1625
-97.154658,41.252892,44.7117,1625
-97.154696,41.252892,60.862,1625.3281
-97.154735,41.252891,58.963,1625.3281
-97.154774,41.25289,51.2002,1625.3281
-97.154813,41.252889,47.6522,1625.6562
-97.154853,41.252889,52.4009,1625.6562
-97.154892,41.252888,51.0249,1625.6562
-97.154931,41.252887,51.5789,1625.6562
-97.154971,41.252888,59.7879,1625.6562
-97.15501,41.252888,55.9996,1625.6562
-97.15505,41.252887,46.6559,1625.6562
-97.155088,41.252886,54.3483,1625.6562
-97.155127,41.252885,56.8351,1625.6562
