county_id,elevation,id,lat,lon,name,network,state_name
505,8159.0,1236,39.66,-110.38,CORRAL,snotel,UT
505,5647.0,2132,39.53,-110.81,PRICE,scan,UT
505,8736.0,1097,39.68,-110.43,TIMBERLINE,snotel,UT
509,4700.0,989,46.81,-116.85,MOSCOW MOUNTAIN,snotel,ID
513,1302.0,2094,39.7,-96.16,CENTRALIA LAKE,scan,KS
4,1215.0,2001,40.85,-96.47,ROGERS FARM #1,scan,NE
7,1602.0,2072,43.74,-96.61,EROS DATA CENTER,scan,SD
9,7003.0,539,39.45,-120.29,INDEPENDENCE CAMP,snotel,CA
9,6456.0,540,39.49,-120.28,INDEPENDENCE CREEK,snotel,CA
16,10020.0,1059,38.16,-106.6,COCHETOPA PASS,snotel,CO
16,9649.0,914,37.85,-105.44,MEDANO PASS,snotel,CO
18,6686.0,2151,41.34,-111.19,BUFFALO JUMP,scan,UT
18,7950.0,374,41.68,-111.42,BUG LAKE,snotel,UT
18,7705.0,1114,41.92,-111.47,GARDEN CITY SUMMIT,snotel,UT
20,670.0,2073,41.8,-81.08,SUNLEAF NURSERY,scan,OH
27,8180.0,554,42.27,-110.81,KELLEY R.S.,snotel,WY
51,6915.0,373,41.75,-117.53,BUCKSKIN LOWER,snotel,NV
51,6500.0,445,41.97,-118.19,DISASTER PEAK,snotel,NV
51,6596.0,1195,40.88,-117.59,GOLCONDA,snotel,NV
51,8543.0,498,41.67,-117.57,GRANITE PEAK,snotel,NV
51,6000.0,569,41.52,-117.63,LAMANCE CREEK,snotel,NV
51,7609.0,1194,41.49,-119.0,SUMMIT LK,snotel,NV
54,3400.0,398,45.1,-121.75,CLACKAMAS LAKE,snotel,OR
69,4431.0,2136,41.82,-111.98,CACHE JUNCTION,scan,UT
69,8350.0,455,41.41,-111.54,DRY BREAD POND,snotel,UT
69,7250.0,1115,41.97,-111.6,KLONDIKE NARROWS,snotel,UT
69,6544.0,582,41.41,-111.83,LITTLE BEAR,snotel,UT
69,8960.0,634,41.47,-111.5,MONTE CRISTO,snotel,UT
69,7406.0,1013,41.79,-111.55,TEMPLE FORK,snotel,UT
69,8474.0,823,41.9,-111.63,TONY GROVE LAKE,snotel,UT
69,6332.0,1113,41.89,-111.57,TONY GROVE RS,snotel,UT
69,8270.0,1098,41.86,-111.51,USU DOC DANIEL,snotel,UT
75,4210.0,1081,47.86,-117.04,RAGGED MOUNTAIN,snotel,ID
76,8979.0,1111,36.32,-115.7,BRISTLECONE TRAIL,snotel,NV
76,6718.0,2145,36.37,-115.83,CHARKILN,scan,NV
76,7011.0,2141,36.27,-115.61,KYLE CANYON,scan,NV
76,6593.0,2146,36.17,-115.61,LOVELL SUMMIT,scan,NV
76,6770.0,2144,36.57,-115.2,PINE NUT,scan,NV
76,7920.0,1110,36.25,-115.63,RAINBOW CANYON,snotel,NV
76,7848.0,2142,36.37,-115.79,TROUGH SPRINGS,scan,NV
77,1986.0,2093,39.79,-99.33,PHILLIPSBURG,scan,KS
79,960.0,2061,38.87,-94.03,POWELL GARDENS,scan,MO
82,5150.0,608,45.11,-119.5,MADISON BUTTE,snotel,OR
88,8920.0,387,37.66,-107.8,CASCADE #2,snotel,CO
89,8170.0,484,42.05,-111.6,FRANKLIN BASIN,snotel,ID
97,8000.0,524,44.02,-113.47,HILTS CREEK,snotel,ID
97,9520.0,926,43.73,-113.83,SMILEY MOUNTAIN,snotel,ID
130,9.0,2051,25.5,-80.55,EVERGLADES ARS,scan,FL
166,1106.0,2194,37.0,-92.26,JOURNAGAN RANCH,scan,MO
171,8029.0,784,39.19,-120.26,SQUAW VALLEY G.C.,snotel,CA
171,6797.0,809,39.17,-120.15,TAHOE CITY CROSS,snotel,CA
171,6655.0,848,39.14,-120.22,WARD CREEK #3,snotel,CA
209,5530.0,824,46.12,-117.85,TOUCHET,snotel,WA
215,4930.0,529,43.67,-122.57,HOLLAND MEADOWS,snotel,OR
215,4220.0,729,43.61,-122.12,SALT CREEK FALLS,snotel,OR
230,5760.0,647,45.27,-117.69,MOSS SPRINGS,snotel,OR
244,10200.0,840,37.49,-106.84,UPPER SAN JUAN,snotel,CO
