lon,lat,yld_vol_dr,elevation_
-97.127915,41.264993,177.1648,1655.1837
-97.127915,41.265016,157.2848,1655.5118
-97.127916,41.26504,192.5168,1655.1837
-97.127916,41.265064,205.6778,1655.1837
-97.127915,41.265088,198.954,1654.8556
-97.127915,41.265109,225.0048,1654.8556
-97.127913,41.265128,241.9521,1654.8556
-97.127911,41.265148,237.0718,1654.8556
-97.127909,41.265166,208.9315,1654.8556
-97.127909,41.265185,237.6042,1654.5276
-97.127909,41.265205,219.6648,1653.8714
-97.127909,41.265225,241.1676,1653.8714
-97.127908,41.265244,244.3313,1653.5433
-97.127908,41.265265,206.7244,1653.5433
-97.127908,41.265283,230.8781,1653.2152
-97.127907,41.265302,230.9549,1653.2152
-97.127906,41.265322,216.3573,1652.8871
-97.127905,41.265341,200.6763,1652.8871
-97.127905,41.265361,210.9866,1652.5591
-97.127905,41.265381,197.99,1652.5591
-97.127905,41.265402,200.6279,1652.5591
-97.127905,41.265422,197.0545,1652.231
-97.127903,41.26544,232.1589,1652.5591
-97.127903,41.265461,215.7594,1652.8871
-97.127902,41.265482,209.6093,1652.5591
-97.127901,41.265501,231.4072,1652.231
-97.1279,41.265521,223.3997,1652.231
-97.1279,41.265542,206.5552,1652.5591
-97.127899,41.265562,196.0788,1652.8871
-97.127898,41.265582,219.9966,1653.2152
-97.127897,41.265602,217.6889,1652.8871
-97.127897,41.265622,205.7477,1652.8871
-97.127897,41.265642,224.4073,1652.8871
-97.127897,41.265662,227.8088,1652.5591
-97.127897,41.265682,229.0466,1652.8871
-97.127896,41.265702,231.1937,1653.2152
-97.127894,41.265722,215.9453,1653.2152
-97.127893,41.265742,204.1554,1653.2152
-97.127893,41.265762,199.026,1653.5433
-97.127892,41.265782,213.9965,1653.5433
-97.127891,41.265802,206.0449,1653.2152
-97.127891,41.265822,211.2154,1653.2152
-97.127889,41.265842,194.1878,1653.5433
-97.127889,41.265863,180.3347,1653.5433
-97.127888,41.265883,180.0301,1653.5433
-97.127887,41.265902,185.5402,1653.5433
-97.127886,41.265918,187.3018,1653.2152
-97.127885,41.265933,197.9887,1653.5433
