lon,lat,yld_vol_dr,elevation_
-97.146081,41.250393,106.1752,1620.7349
-97.146081,41.250423,84.0924,1621.063
-97.146081,41.250454,78.7881,1620.7349
-97.14608,41.250484,110.1445,1621.063
-97.146081,41.250514,138.5123,1621.063
-97.146082,41.250544,115.9552,1621.063
-97.146082,41.250575,104.8019,1621.063
-97.146084,41.250604,129.4248,1621.063
-97.146085,41.250635,102.3509,1621.063
-97.146085,41.250665,88.2596,1621.063
-97.146084,41.250695,78.0176,1621.063
-97.146084,41.250726,69.3472,1621.063
-97.146084,41.250757,65.9105,1621.3911
-97.146083,41.250787,86.9775,1621.7192
-97.146083,41.250816,105.5971,1621.7192
-97.146084,41.250847,100.0662,1621.3911
-97.146084,41.250877,129.0535,1621.7192
-97.146084,41.250907,111.0182,1622.0472
-97.146085,41.250938,72.6191,1622.0472
-97.146085,41.250968,79.1409,1622.0472
-97.146085,41.250999,80.7116,1622.0472
-97.146029,41.25085,56.8355,1622.3753
-97.146031,41.25088,53.3331,1622.3753
-97.146031,41.250911,50.5611,1622.3753
-97.14603,41.25094,43.102,1622.7034
-97.146031,41.250971,57.0377,1622.7034
-97.1463231428309,41.2509777142851,82.4002,1626.9685
-97.148197,41.250121,128.3542,1625
-97.148233,41.250121,118.5875,1625
-97.148269,41.250121,120.4815,1625
-97.148306,41.250121,116.073,1625
-97.148341,41.250121,92.351,1625.3281
-97.148378,41.25012,72.341,1625
-97.148414,41.25012,58.2535,1625
-97.14845,41.25012,49.4164,1625
-97.148486,41.25012,48.1298,1624.6719
-97.14852,41.25012,72.1004,1624.6719
-97.148556,41.25012,97.5741,1624.6719
-97.148592,41.250119,112.2863,1624.6719
-97.148629,41.250118,132.8493,1624.3438
-97.148664,41.250119,161.4925,1624.6719
-97.1487,41.250118,160.0094,1624.6719
-97.14874,41.250119,172.1101,1624.6719
-97.148779,41.250119,178.1105,1625
-97.14882,41.25012,155.1034,1624.6719
-97.14886,41.250119,167.8434,1625
-97.1489,41.250119,157.7671,1624.6719
-97.148939,41.25012,159.7816,1625
-97.148979,41.25012,154.3113,1625
-97.149019,41.25012,155.4614,1625
-97.149058,41.25012,160.8854,1625.3281
-97.149099,41.25012,167.613,1625
-97.149139,41.250119,159.0798,1624.6719
-97.149179,41.250119,154.8381,1624.6719
-97.149219,41.250119,156.8409,1624.6719
-97.149258,41.250119,159.7749,1625
-97.149297,41.250118,144.5352,1625
-97.149337,41.250119,152.1817,1625
-97.149376,41.250119,182.8113,1625
-97.149416,41.250119,163.0604,1625.3281
-97.149456,41.25012,196.5396,1625.3281
-97.149495,41.25012,198.2391,1625.3281
-97.149534,41.25012,190.4206,1625.6562
-97.149574,41.250121,195.2404,1625.3281
-97.149614,41.25012,178.3025,1625.6562
-97.149652,41.25012,189.5205,1625.6562
-97.149691,41.250119,209.1765,1625.6562
-97.14973,41.25012,174.1874,1625.3281
-97.149769,41.250119,186.4523,1625.3281
